phonon1,phonon2,distance
d+a,j+a,66.362974
d+a,j+i,68.178982
d+a,j+u,67.986899
d+a,j+e,68.142402
d+a,j+o,67.478243
d+a,k+a,69.246911
d+a,k+i,69.640966
d+a,k+u,69.308464
d+a,k+e,70.091543
d+a,k+o,70.754776
d+a,m+a,70.947939
d+a,m+i,70.954798
d+a,m+u,71.31998
d+a,m+e,70.440559
d+a,m+o,71.363335
d+a,n+a,66.111903
d+a,n+i,69.448386
d+a,n+u,69.047568
d+a,n+e,68.809052
d+a,n+o,69.047565
d+a,p+a,70.261448
d+a,p+i,74.438326
d+a,p+u,71.257993
d+a,p+e,69.356148
d+a,p+o,71.044914
d+a,r+a,64.720041
d+a,r+i,68.367241
d+a,r+u,65.971252
d+a,r+e,67.694899
d+a,r+o,65.875707
d+a,s+a,70.857332
d+a,s+i,71.727298
d+a,s+u,71.72731
d+a,s+e,70.863471
d+a,s+o,71.724644
d+a,t+a,68.429725
d+a,t+i,72.094237
d+a,t+u,70.155405
d+a,t+e,71.895327
d+a,t+o,69.506141
d+a,w+a,72.818639
d+a,w+i,72.973764
d+a,w+u,72.818639
d+a,w+e,72.973764
d+a,w+o,72.818639
d+a,y+a,69.855578
d+a,y+i,72.040374
d+a,y+u,72.040374
d+a,y+e,71.213242
d+a,y+o,71.213242
d+a,z+a,64.887499
d+a,z+i,67.512221
d+a,z+u,67.512221
d+a,z+e,67.285795
d+a,z+o,66.569377
d+a,by+a,68.402459
d+a,by+i,69.264942
d+a,by+u,69.264942
d+a,by+e,69.193991
d+a,by+o,69.193991
d+a,ch+a,71.060652
d+a,ch+i,70.960046
d+a,ch+u,70.96594
d+a,ch+e,72.381921
d+a,ch+o,70.859251
d+a,dy+a,78.748826
d+a,dy+i,78.748826
d+a,dy+u,78.748826
d+a,dy+e,78.748826
d+a,dy+o,78.748826
d+a,gy+a,67.378653
d+a,gy+i,68.025889
d+a,gy+u,68.025889
d+a,gy+e,67.738299
d+a,gy+o,67.738299
d+a,hy+a,71.802876
d+a,hy+i,72.901725
d+a,hy+u,72.901725
d+a,hy+e,72.878007
d+a,hy+o,72.878007
d+a,ky+a,70.377358
d+a,ky+i,70.580725
d+a,ky+u,70.580725
d+a,ky+e,70.466949
d+a,ky+o,70.466949
d+a,my+a,71.798084
d+a,my+i,71.863719
d+a,my+u,71.863719
d+a,my+e,71.861765
d+a,my+o,71.861765
d+a,ny+a,70.615991
d+a,ny+i,70.813653
d+a,ny+u,70.813653
d+a,ny+e,70.615991
d+a,ny+o,70.615991
d+a,py+a,75.474613
d+a,py+i,76.401374
d+a,py+u,76.401374
d+a,py+e,75.996499
d+a,py+o,75.996499
d+a,ry+a,67.531389
d+a,ry+i,67.577983
d+a,ry+u,67.577983
d+a,ry+e,67.531389
d+a,ry+o,67.531389
d+a,sh+a,70.948368
d+a,sh+i,71.204221
d+a,sh+u,72.770323
d+a,sh+e,71.204358
d+a,sh+o,72.743214
d+a,ts+a,70.448914
d+a,ts+i,70.448516
d+a,ts+u,70.448914
d+a,ts+e,70.448516
d+a,ts+o,70.405325
d+a,sp,71.4082
d+i,b+a,66.293746
d+i,b+i,64.176023
d+i,b+u,65.11835
d+i,b+e,63.07267
d+i,b+o,66.034721
d+i,d+a,63.394323
d+i,d+i,59.514245
d+i,d+u,62.366404
d+i,d+e,60.153053
d+i,d+o,63.469381
d+i,f+a,72.391673
d+i,f+i,70.108104
d+i,f+u,71.640466
d+i,f+e,70.108104
d+i,f+o,72.391673
d+i,g+a,65.408077
d+i,g+i,64.237051
d+i,g+u,65.637377
d+i,g+e,62.920967
d+i,g+o,67.274121
d+i,h+a,70.806283
d+i,h+i,69.550138
d+i,h+u,70.803991
d+i,h+e,70.550751
d+i,h+o,74.759988
d+i,j+a,65.018332
d+i,j+i,65.786376
d+i,j+u,65.329884
d+i,j+e,65.486521
d+i,j+o,65.180323
d+i,k+a,69.014345
d+i,k+i,67.906546
d+i,k+u,68.905131
d+i,k+e,67.778236
d+i,k+o,70.685252
d+i,m+a,70.439452
d+i,m+i,67.343764
d+i,m+u,69.101434
d+i,m+e,67.06182
d+i,m+o,69.809684
d+i,n+a,66.259303
d+i,n+i,65.976265
d+i,n+u,66.088515
d+i,n+e,65.568391
d+i,n+o,68.119411
d+i,p+a,71.568432
d+i,p+i,70.385655
d+i,p+u,70.426717
d+i,p+e,66.988492
d+i,p+o,71.755916
d+i,r+a,65.175102
d+i,r+i,64.030087
d+i,r+u,64.443484
d+i,r+e,63.428581
d+i,r+o,65.274159
d+i,s+a,69.517194
d+i,s+i,70.32158
d+i,s+u,70.325769
d+i,s+e,69.508986
d+i,s+o,70.325608
d+i,t+a,70.404809
d+i,t+i,69.669443
d+i,t+u,70.35546
d+i,t+e,68.844156
d+i,t+o,68.98283
d+i,w+a,73.246328
d+i,w+i,73.027275
d+i,w+u,73.246328
d+i,w+e,73.027275
d+i,w+o,73.246328
d+i,y+a,66.953168
d+i,y+i,68.037631
d+i,y+u,68.037631
d+i,y+e,67.557273
d+i,y+o,67.557273
d+i,z+a,65.177508
d+i,z+i,65.391304
d+i,z+u,65.391304
d+i,z+e,64.142298
d+i,z+o,65.323464
d+i,by+a,65.261515
d+i,by+i,64.290043
d+i,by+u,64.290043
d+i,by+e,64.286421
d+i,by+o,64.286421
d+i,ch+a,70.140206
d+i,ch+i,69.192909
d+i,ch+u,69.180676
d+i,ch+e,70.232878
d+i,ch+o,69.544385
d+i,dy+a,74.145822
d+i,dy+i,74.145822
d+i,dy+u,74.145822
d+i,dy+e,74.145822
d+i,dy+o,74.145822
d+i,gy+a,64.020357
d+i,gy+i,65.254719
d+i,gy+u,65.254719
d+i,gy+e,64.270576
d+i,gy+o,64.270576
d+i,hy+a,69.820681
d+i,hy+i,69.935262
d+i,hy+u,69.935262
d+i,hy+e,69.930608
d+i,hy+o,69.930608
d+i,ky+a,68.705276
d+i,ky+i,68.857259
d+i,ky+u,68.857259
d+i,ky+e,68.767815
d+i,ky+o,68.767815
d+i,my+a,67.618773
d+i,my+i,67.620384
d+i,my+u,67.620384
d+i,my+e,67.620154
d+i,my+o,67.620154
d+i,ny+a,67.106661
d+i,ny+i,67.183694
d+i,ny+u,67.183694
d+i,ny+e,67.106661
d+i,ny+o,67.106661
d+i,py+a,71.061162
d+i,py+i,71.205532
d+i,py+u,71.205532
d+i,py+e,71.177308
d+i,py+o,71.177308
d+i,ry+a,63.787121
d+i,ry+i,64.100371
d+i,ry+u,64.100371
d+i,ry+e,63.787121
d+i,ry+o,63.787121
d+i,sh+a,68.866549
d+i,sh+i,68.866865
d+i,sh+u,70.297929
d+i,sh+e,68.866621
d+i,sh+o,70.295918
d+i,ts+a,69.284661
d+i,ts+i,69.217794
d+i,ts+u,69.284661
d+i,ts+e,69.217794
d+i,ts+o,69.293092
d+i,sp,70.745428
d+u,b+a,66.188144
d+u,b+i,68.055188
d+u,b+u,65.271961
d+u,b+e,67.300074
d+u,b+o,66.335662
d+u,d+a,63.516538
d+u,d+i,64.917047
d+u,d+u,60.189078
d+u,d+e,65.62466
d+u,d+o,60.943535
d+u,f+a,72.560806
d+u,f+i,72.291147
d+u,f+u,72.537678
d+u,f+e,72.291147
d+u,f+o,72.560806
d+u,g+a,65.74228
d+u,g+i,67.032491
d+u,g+u,66.392104
d+u,g+e,66.669807
d+u,g+o,67.718478
d+u,h+a,71.245682
d+u,h+i,72.701162
d+u,h+u,71.246688
d+u,h+e,73.833091
d+u,h+o,74.864712
d+u,j+a,66.910704
d+u,j+i,68.163852
d+u,j+u,67.852217
d+u,j+e,68.058626
d+u,j+o,66.546136
d+u,k+a,69.719923
d+u,k+i,69.854346
d+u,k+u,69.433508
d+u,k+e,70.39436
d+u,k+o,71.447418
d+u,m+a,70.538292
d+u,m+i,69.776832
d+u,m+u,70.494388
d+u,m+e,69.652505
d+u,m+o,70.592075
d+u,n+a,67.298513
d+u,n+i,68.37797
d+u,n+u,68.268867
d+u,n+e,68.498453
d+u,n+o,68.242981
d+u,p+a,71.359462
d+u,p+i,74.679814
d+u,p+u,69.771688
d+u,p+e,70.349411
d+u,p+o,71.571785
d+u,r+a,66.085016
d+u,r+i,67.864977
d+u,r+u,66.11095
d+u,r+e,67.299326
d+u,r+o,65.701695
d+u,s+a,71.359525
d+u,s+i,71.934562
d+u,s+u,71.933389
d+u,s+e,71.364899
d+u,s+o,71.916312
